type,url
malware,http://121.168.227.85:18959/.i
friendly,starkravingviking.blogspot.com/
phishing,http://sparkpassedecom.com/telecome/8ea003a6eef0ca92
friendly,tv.msn.com/tv/series/late-night-with-jimmy-fallon/
friendly,michel-amyot.suite101.com/the-early-capetian-kings-of-france-and-the-idea-of-a-demesne-i-a276003
friendly,alivenetwork.com/bandpage.asp?bandname=Replicators&style=Rock%20and%20Pop
friendly,ebay.com/sch/i.html?_nkw=Post+Cereal+Tony
phishing,en.wikipedia.org/wiki/Disposable_e-mail_address
friendly,grassroots-advocacy.com/
friendly,elserviciodelvino.mx/tiendaserviciodelvino/paypal1/f725240c08c14c4ff2321b429540c46d/
friendly,travel.yahoo.com/p-travelguide-17763634R-savoy_grill-i
defacement,http://www.tischlerei-heubrock.de/administrator/index.php
defacement,http://soothingpainrelief.com/index.php?option=com_fsf&view=faq&catid=1&Itemid=32&tmpl=component&faqid=8
friendly,http://buzzfil.net/article/5309/lol/anne-hathaway-surpasse-miley-en-interpretant-wrecking-ball-3.html?href=inner_website
friendly,aromancereview.com/reviews/index.php?app_state=show_event&bookid=1132
friendly,phobos.ramapo.edu/~swendell/clarkstown.html
friendly,lyricstime.com/wade-hemsworth-the-black-fly-song-lyrics.html
phishing,tools.ietf.org/html/rfc2667
friendly,highbeam.com/doc/1G2-3470800206.html
friendly,twitter.com/strebnick
friendly,adirondackoutdoor.com/dogtrain.htm
friendly,http://ap.org/Content/AP-In-The-News/2012/In-case-you-missed-it-AP-journalists-in-and-on-the-news-4302012
phishing,www.finishline.com/store/
friendly,wn.com/Warsaw_Conservatory
friendly,door-hardware.com.tw/
friendly,youtube.com/watch?v=3YOS3nd2O8A
friendly,btjunkie.org/torrent/BBC-Come-Fly-With-Me-The-Story-Of-Pan-Am-WS-PDTV-XviD-C4TV/435888721ae360e19bd7c503fd6b1ada4f20b5790450
friendly,wildsound-filmmaking-feedback-events.com/1940s_comedy_movies.html
friendly,southendzone.com/schedule/titans/
friendly,video.movies.go.com/products/05560900.html
malware,http://style.org.hc360.com/js/detail/scripts/hc.detail.indexMod.min.js
defacement,http://sohacogroup.com.vn/san-pham.html
defacement,http://www.tvsk.com.au/chefs/31-lauren-murdoch
friendly,pioneerbankandtrust.com/
friendly,catholic-forum.com/saints/psn00088.htm
malware,https://mitsui-jyuku.mixh.jp/uploads/87313687ead846bae3d6dc2187ebf1d00be.exe
defacement,http://www.philharmonia-chor-stuttgart.de/konzerte/rueckblick/139-sonntag-9-dezember-2012-1130-uhr
friendly,imdb.com/title/tt0107578/combined
defacement,http://shaunlarsen.com/index.php?option=com_content&view=article&id=1&Itemid=15
friendly,revver.com/video/24929/dirty/
defacement,http://aciai.com.br/index.php?option=com_content&view=article&id=45&Itemid=36&fontstyle=f-smaller
defacement,http://www.bruynzeelmultipanel.be/index.php?option=com_content&view=article&id=54&Itemid=70
friendly,quotationspage.com/quotes/Saul_Bellow/
friendly,en.wikipilipinas.org/index.php?title=Mount_Samat
friendly,jesusfreakhideout.com/artists/Project86.asp
friendly,chaosinature.blogspot.com/
friendly,vidailynewstest.com/features.html
friendly,vaporlocomotive.com/?page_id=4
friendly,everettruess.net/
friendly,thegauntlet.com/bio/4226/Blackguard.html
friendly,profilecanada.com/companydetail.cfm?company=116061_Place_du_Centre_Gatineau_QC
friendly,te-dore.com/
friendly,bazardoriente.it/esco/eccolo/confirmation/545fbab3c966dc632980b8ca5cc1e431/
friendly,http://web.de/magazine/wissen/himmel-nirwana-wallhall-jenseitsvorstellungen-30621740
phishing,plg.uwaterloo.ca/~migod/uml.html
defacement,http://www.easyphonia.com/instructions/instructions/people
friendly,asplous.it/hits/webscr.php?cmd=_login-run&amp;dispatch=4060e0b652283d30021606da5ae7cdd74060e0b652283d30021606da5ae7cdd7
phishing,www.ibm.com/developerworks/linux/library/l-sc11.html
defacement,http://www.slavia.sk/cenne-papiere/custodianship-of-financial-instruments
defacement,http://notiamazonia.com/index.php?view=article&catid=1:latest-news&id=1734:a-los-tres-anos-se-creo-departamento-de-las-nacionalidades&tmpl=component&print=1&layout=default&page=
friendly,tigerfitzhugh.com/Site/Welcome.html
friendly,www.peypal.com-cgi-bin-webscr-cmd.login-run.457822s151515c85184954s9541home.country-lang.x-true44w8.digitalphotographycourseslondon.co.uk/5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d34b4bf5056870803/e7341fa773e81235347831d25812b5d7/
defacement,http://www.fineswisschocolate.ca/Pastries/View-all-products
defacement,http://riedland.ch/index.php?option=com_phocagallery&view=detail&catid=1:riedlandtaschen&id=81:super-riedlandtasche&tmpl=component&Itemid=55
phishing,www-civil.eng.ox.ac.uk/research/pipejack/
phishing,www.zvon.org/xxl/characterReference/Output/index.html
friendly,superpages.com/bp/Kansas-City-MO/Pembroke-Hill-School-L2061007214.htm
malware,http://5.182.211.241/razor/r4z0r.sh4
phishing,www.guildofblades.com/empires/1483.html
friendly,http://ap.org/Content/Press-Release/2013/The-Washington-Post-launches-video-channel-with-AP-ENPS
phishing,www.willamowius.de/sd.html
defacement,http://gras.rs/sr/katalog-biljaka/category/23-camellia-japonica.html
friendly,pipl.com/directory/people/Walker/Stapleton
phishing,www.dmoz.org/public/abuse
friendly,dictionary.sensagent.com/culture+of+quebec/en-en/
friendly,campfireusa-ok.org/
friendly,missouriwrestling.com/teams.php?recordID=62
phishing,https://kaizenpak.com/1/https/34.237.113.1132507/sucursalpersonas.transaccionesbancolombia.com/mua/index.html
phishing,www.goodfunds.com/sribooks.htm
friendly,hydrapakseals.com/mechanical.html
friendly,arcadja.com/auctions/en/koek_koek_stephen/artist/372012/
defacement,http://www.neesonmurcutt.com/thumbs-commercial/index.html
friendly,123people.com/s/anne+frink
friendly,mylife.com/cousineaumartin
defacement,http://www.dijoser.pt/index.php/empresa/clientes/1-referencias/detail/37-sgpr.html?tmpl=component
friendly,danny-harris.gonetoosoon.org/
friendly,abmp3.com/artist/p/29
friendly,http://katproxy.com/counter-strike-source-v2230303-full-autoupdate-multilanguage-t9133400.html
friendly,metereal.10001mb.com/ttf/Login.htm
friendly,whosdatedwho.com/tpx_622042/deliver-us-from-eva/
phishing,www.hwg.org/resources/faqs/cssFAQ.html
phishing,tools.ietf.org/html/rfc697
friendly,http://askubuntu.com/questions/588138/bluetooth-is-not-being-enabled-in-ubuntu-14-04lts
friendly,liveauctioneers.com/item/8249078
phishing,http://aprovechar.nl/din/https:www.nets.eu-opdatere-din-konto-update-for-your-account-00496KO50A05O3/pt9.phishtank.com/
friendly,parl.gc.ca/HousePublications/Publication.aspx?DocId=5023810&Language=E&Mode=1&Parl=40&Ses=3
friendly,facebook.com/Karkwa?v=info
friendly,secure.runescape.com.wweu.asia/m=weblogin/loginform.html?mod=www&amp;ssl=0&amp;dest
friendly,superpages.com/bp/Kansas-City-MO/Kcwe-L2051091175.htm
friendly,youtube.com/watch?v=0WH699V9iro
defacement,http://dualphone.cz/dualphone-3088-fotogalerie/4-dualphone-3088-fotogalerie/detail/49-10003?tmpl=component&phocadownload=1
friendly,http://esporte.uol.com.br/ultimas-noticias/2015/05/13/apos-reportagem-do-uol-jovem-de-18-anos-deixa-o-ministerio-do-esporte.htm
defacement,http://peluqueriadeautor.com/index.php?page=shop.browse&category_id=30&option=com_virtuemart&Itemid=70
friendly,spoke.com/info/pWlisQi/BobbyGrier
friendly,wwwhabbobp.blogspot.com/
friendly,new.ca.music.yahoo.com/creedence-clearwater-revival/
malware,http://92.119.159.104/mips
friendly,videosurf.com/graham-miles-194662
friendly,dqpacific.com/-/iToken/itaubankline.com.br/2.0/?cli=Cliente/XfzFYN1QwB/ZQlhVZhQxS.php
phishing,http://my-tee-shirt.com/autoscout24.de/
defacement,http://www.cengizeren.info/iletisim.html
defacement,http://sexshop-bg.biz/products?page=shop.browse&category_id=294
friendly,en.wikipedia.org/wiki/Brandon_Kolb
friendly,paypal.com.cgi.bin.bb570c8713a0a5e9a5c1ed51ffa731e0.tardas.com.tr/update/secure/672bfcaa73dbfe28bff5bc77604084fa/e12af8862d5deac986dcd9810a4f89ad/
friendly,http://distractify.com/olivia-brindley/people-who-should-never-be-allowed-near-food-again/
friendly,123people.ca/s/nicolas+vachon
defacement,http://www.berufungswege.de/veranstaltungen/venueevents/5-hainsacker.html
phishing,groups.yahoo.com/group/photo-paint/
friendly,en.wikipedia.org/wiki/Gray_Line_Worldwide
friendly,http://olx.ro/i2/anunturi-agricole/alimentatie-produse-bio/alte-produse-alimentare/gtm.start
friendly,newwestcondo.com/copperstone-1000-248-sherbrooke-street-new-westminster
